[Header]
; Copyright 1997-2010, Quantum Design, Inc. All rights reserved.
FILEOPENTIME,3981286218.733,2/26/2026,4:52 PM
BYAPP, LogDynaCoolData, 1.0, 2.2
INFO, APPNAME, DynaCool MultiVu Application, Release 1.2.5.1
FIELDGROUP, Standard,2,3,4,5,6,7,8,9,11,10
FIELDGROUP, Diagnostic,2,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
FIELDGROUP, User,2,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
STARTUPGROUP, All
STARTUPAXIS, X, 2, LINEAR, AUTO
STARTUPAXIS, Y1, 3, LINEAR, AUTO
TIMEMODE, MINUTES, RELATIVE
PLOT_APPEARANCE, ALL, HORZ_GRID_ON, VERT_GRID_ON, MARKERS_AND_LINES, ALL_LINES
RECORDS, ALL_RECORDS
DATATYPE, TIME, 2
DATATYPE, COMMENT, 1
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),System Pres (Torr),Chamber Status (code),Temperature Status (code),Field Status (code),Cryostat Status (code),Control Therm (ID),Sample Therm (ID),Block Temp (K),Neck Temp (K),High Neck Temp (K),Control Temp (K),1st Stage Temp (K),2nd Stage Temp (K),Magnet Temp (K),Impedance Temp (K),Pot Liquid level (%),Block Power (W),Neck Heater Power (W),High Neck Heater Power (W),1st Stage Heater Power (W),2nd Stage Heater Power (W),Magnet Voltage (V),Impedance Heater Power (W),Pot Power (W),CFE Flow (SCCM),Pump Flow (uncal SCCM),Tank Pressure (Torr),Annulus Pressure (Torr),Compressor State (code),Pirani S/N,Firm Rev,Ix,Vs,Vt,Vm,Vh,Pirani Pressure (Torr),Strain Pressure (Torr),calfactor.strcal_p0,calfactor.strcal_pathm,calfactor.strcal_V0,calfactor.strcal_Vathm,calfactor.pstr_slope,calfactor.pstr_offs,Pressure
,3981288499.94,83.71645,-0.4305466,18.83094,1,6,4,7,968,968,78.63141,117.8018,290.6797,83.71645,53.24851,4.292959,4.658477,,-18.208839,0.000000,0.000000,0.000000,0,0,,,,,,,,,-1,1114757200,0.002911,0.582112,0.791196,0.715264,1.930815,18.057686,28.425076,0.000000,780.875793,1.966500,0.220700,-440.000000,914.700012,18.829254
,3981288563.27,77.87396,-0.4305466,18.56866,1,6,4,7,968,968,73.15908,110.5154,289.3704,77.87396,53.55787,4.28901,4.659021,,-18.410700,0.000000,0.000000,0.000000,0,0,,,,,,,,,-1,1114757200,0.002910,0.582096,0.791191,0.715353,1.931637,17.854839,28.063419,0.000000,780.875793,1.966500,0.220700,-440.000000,914.700012,18.568466
,3981288626.63,72.03432,-0.3946677,18.27182,1,6,4,7,968,968,67.64828,103.2339,287.9226,72.03432,53.78672,4.290857,4.657152,,-18.179964,0.000000,0.000000,0.000000,0,0,,,,,,,,,-1,1114757200,0.002910,0.582079,0.791183,0.715456,1.932636,17.619501,27.624132,0.000000,780.875793,1.966500,0.220700,-440.000000,914.700012,18.269047
,3981288690.01,65.99188,-0.4126071,17.94438,1,6,4,7,968,968,62.05003,95.74139,286.2674,65.99188,53.68959,4.291508,4.658467,,-18.274536,0.000000,0.000000,0.000000,0,0,,,,,,,,,-1,1114757200,0.002910,0.582060,0.791177,0.715576,1.933780,17.360561,27.120592,0.000000,780.875793,1.966500,0.220700,-440.000000,914.700012,17.943796
,3981288753.56,59.73626,-0.448486,17.56761,1,6,4,7,968,968,56.20063,88.20658,284.4788,59.73626,53.72243,4.293534,4.66537,,-18.726738,0.000000,0.000000,0.000000,0,0,,,,,,,,,-1,1114757200,0.002910,0.582040,0.791168,0.715722,1.935082,17.052217,26.547815,0.000000,780.875793,1.966500,0.220700,-440.000000,914.700012,17.565115
,3981288817.01,53.10237,-0.4305466,17.12277,1,6,4,7,968,968,49.94864,80.29412,282.4659,53.10237,53.94968,4.290857,4.661244,,-18.344738,0.000000,0.000000,0.000000,0,0,,,,,,,,,-1,1114757200,0.002910,0.582013,0.791149,0.715897,1.936670,16.681671,25.849154,0.000000,780.875793,1.966500,0.220700,-440.000000,914.700012,17.118700
,3981288880.37,45.83327,-0.3767283,16.57612,1,6,4,7,968,968,43.05524,72.06535,280.2847,45.83327,54.11131,4.291465,4.660738,,-18.328049,0.000000,0.000000,0.000000,0,0,,,,,,,,,-1,1114757200,0.002910,0.581979,0.791124,0.716128,1.938672,16.216825,24.968220,0.000000,780.875793,1.966500,0.220700,-440.000000,914.700012,16.571474
,3981288943.83,37.27271,-0.07175776,15.83202,1,6,4,7,968,968,35.01899,63.07454,277.8447,37.27271,54.19248,4.292951,4.670048,,-18.264734,0.000000,0.000000,0.000000,0,0,,,,,,,,,-1,1114757200,0.002910,0.581929,0.791077,0.716467,1.941494,15.565842,23.726418,0.000000,780.875793,1.966500,0.220700,-440.000000,914.700012,15.826203
,3981289007.20,25.94213,0.1076366,14.58801,1,6,4,7,968,968,24.20465,53.01602,275.225,25.94213,54.17958,4.2935,4.662572,,-18.519314,0.000000,0.000000,0.000000,0,0,,,,,,,,,-1,1114757200,0.002909,0.581839,0.790975,0.717112,1.946213,14.441371,21.650101,0.000000,780.875793,1.966500,0.220700,-440.000000,914.700012,14.588007
,3981289070.59,11.2071,0.07175776,11.62743,1,6,4,7,968,968,10.8065,41.59436,272.359,11.2071,54.27621,4.291085,4.663899,,-20.026915,0.000000,0.000000,0.000000,0,0,,,,,,,,,-1,1114757200,0.002908,0.581544,0.790602,0.719253,1.957888,11.606409,11.595767,0.000000,775.969238,1.966500,0.220700,-440.000000,914.700012,11.606357
